2021-05-03T15:19:35.033Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2}
2021-05-03T15:19:35.233Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:19:36.037Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 75020}
2021-05-03T15:19:36.256Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 38431}
2021-05-03T15:19:37.063Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 45149}
2021-05-03T15:19:37.264Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 31760}
2021-05-03T15:19:38.065Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6}
2021-05-03T15:19:38.265Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 7866}
2021-05-03T15:19:39.074Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 69501}
2021-05-03T15:19:39.277Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 61329}
2021-05-03T15:19:40.088Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 3259}
2021-05-03T15:19:40.288Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:19:41.090Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 38905}
2021-05-03T15:19:41.291Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 47850}
2021-05-03T15:19:42.105Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 33614}
2021-05-03T15:19:42.307Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 94177}
2021-05-03T15:19:43.110Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 14}
2021-05-03T15:19:43.310Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8}
2021-05-03T15:19:44.114Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 40010}
2021-05-03T15:19:44.316Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 37682}
2021-05-03T15:19:45.157Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 77499}
2021-05-03T15:19:45.358Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 17208}
2021-05-03T15:19:46.158Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:19:46.359Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 21318}
2021-05-03T15:19:47.214Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 82292}
2021-05-03T15:19:47.431Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1507}
2021-05-03T15:19:48.250Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:19:48.650Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12}
2021-05-03T15:19:49.255Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 52892}
2021-05-03T15:19:49.457Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 65364}
2021-05-03T15:19:50.305Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 77028}
2021-05-03T15:19:50.484Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 100001}
2021-05-03T15:19:51.489Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 4}
2021-05-03T15:19:51.890Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 60}
2021-05-03T15:19:52.496Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 45115}
2021-05-03T15:19:52.701Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 31937}
2021-05-03T15:19:53.508Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 77102}
2021-05-03T15:19:53.709Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 11478}
2021-05-03T15:19:54.521Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6}
2021-05-03T15:19:54.722Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 24657}
2021-05-03T15:19:55.528Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 83632}
2021-05-03T15:19:55.745Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 56592}
2021-05-03T15:19:56.556Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:19:56.756Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:19:57.557Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 37773}
2021-05-03T15:19:57.760Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 79087}
2021-05-03T15:19:58.614Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 47309}
2021-05-03T15:19:58.815Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 65627}
2021-05-03T15:19:59.618Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:19:59.818Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:20:00.726Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 66038}
2021-05-03T15:20:00.928Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 37137}
2021-05-03T15:20:01.736Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 68570}
2021-05-03T15:20:01.937Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 48335}
2021-05-03T15:20:02.738Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8}
2021-05-03T15:20:02.938Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 792}
2021-05-03T15:20:03.744Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 63241}
2021-05-03T15:20:03.949Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 68398}
2021-05-03T15:20:04.763Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 17514}
2021-05-03T15:20:04.963Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 14}
2021-05-03T15:20:05.763Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 17998}
2021-05-03T15:20:05.965Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 44553}
2021-05-03T15:20:06.773Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 15249}
2021-05-03T15:20:06.974Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 40892}
2021-05-03T15:20:07.978Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:20:08.178Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:20:09.059Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 53300}
2021-05-03T15:20:09.261Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 56531}
2021-05-03T15:20:10.077Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 24174}
2021-05-03T15:20:10.277Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 18}
2021-05-03T15:20:11.078Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 20191}
2021-05-03T15:20:11.279Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 64679}
2021-05-03T15:20:12.086Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 55336}
2021-05-03T15:20:12.287Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 13395}
2021-05-03T15:20:13.090Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12}
2021-05-03T15:20:13.291Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2}
2021-05-03T15:20:14.094Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 37053}
2021-05-03T15:20:14.296Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 64180}
2021-05-03T15:20:15.103Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 52019}
