2021-02-25T14:43:11.774Z	info	service/service.go:411	Starting OpenTelemetry Contrib Collector...	{"Version": "v0.20.0", "GitHash": "ffce8840", "NumCPU": 8}
2021-02-25T14:44:33.925Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:34.340Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 3728}
2021-02-25T14:44:34.923Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:35.922Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:35.945Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:36.924Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:36.946Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:37.943Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:37.965Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:38.947Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:38.972Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:39.948Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:39.973Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:40.968Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:40.992Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:41.989Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:42.010Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:42.993Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:43.019Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:43.998Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:44.024Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:45.020Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:45.047Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:46.038Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:46.124Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:47.052Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:47.078Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:48.226Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 9248}
2021-02-25T14:44:48.922Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:49.273Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 4240}
2021-02-25T14:44:49.924Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:50.396Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 3216}
2021-02-25T14:44:50.923Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:51.924Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:51.947Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:52.946Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:52.971Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:53.969Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:53.994Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:54.975Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:54.998Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:55.991Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:56.016Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:56.994Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:57.020Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:58.020Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:58.043Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:59.026Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:44:59.048Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:45:00.033Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:45:00.063Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:45:01.050Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:45:01.076Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:45:02.050Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:45:02.077Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:45:03.053Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:45:03.078Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:45:04.252Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 6046}
2021-02-25T14:45:04.923Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:45:05.280Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 9872}
2021-02-25T14:45:05.924Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 10000}
2021-02-25T14:45:06.613Z	INFO	loggingexporter/logging_exporter.go:313	TracesExporter	{"#spans": 5264}
