2021-05-03T09:56:26.101Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 23187}
2021-05-03T09:56:26.302Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 24361}
2021-05-03T09:56:27.130Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 3050}
2021-05-03T09:56:27.337Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 4494}
2021-05-03T09:56:28.143Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 28716}
2021-05-03T09:56:28.345Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 35412}
2021-05-03T09:56:29.153Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 38563}
2021-05-03T09:56:29.355Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 38848}
2021-05-03T09:56:30.163Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 38744}
2021-05-03T09:56:30.365Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39010}
2021-05-03T09:56:31.183Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 37029}
2021-05-03T09:56:31.385Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39482}
2021-05-03T09:56:32.192Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39076}
2021-05-03T09:56:32.393Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 37885}
2021-05-03T09:56:33.198Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 41802}
2021-05-03T09:56:33.400Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 43150}
2021-05-03T09:56:34.202Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8907}
2021-05-03T09:56:34.402Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6399}
2021-05-03T09:56:35.206Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12852}
2021-05-03T09:56:35.406Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 17765}
2021-05-03T09:56:36.214Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 3887}
2021-05-03T09:56:36.414Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10019}
2021-05-03T09:56:37.215Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 9670}
2021-05-03T09:56:37.416Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 13282}
2021-05-03T09:56:38.218Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 16139}
2021-05-03T09:56:38.418Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 14109}
2021-05-03T09:56:39.219Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 9276}
2021-05-03T09:56:39.420Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 15183}
2021-05-03T09:56:40.224Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 26961}
2021-05-03T09:56:40.426Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 27170}
2021-05-03T09:56:41.231Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 23694}
2021-05-03T09:56:41.432Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 23473}
2021-05-03T09:56:42.264Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 18994}
2021-05-03T09:56:42.466Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 19193}
2021-05-03T09:56:43.271Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 22416}
2021-05-03T09:56:43.473Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 26982}
2021-05-03T09:56:44.313Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 32501}
2021-05-03T09:56:44.559Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8646}
2021-05-03T09:56:45.365Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 34970}
2021-05-03T09:56:45.567Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 34818}
2021-05-03T09:56:46.375Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 35835}
2021-05-03T09:56:46.577Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 36341}
2021-05-03T09:56:47.385Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 38786}
2021-05-03T09:56:47.587Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39492}
2021-05-03T09:56:48.436Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 40490}
2021-05-03T09:56:48.638Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 40216}
2021-05-03T09:56:49.445Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 40722}
2021-05-03T09:56:49.646Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 40715}
2021-05-03T09:56:50.448Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 11751}
2021-05-03T09:56:50.649Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 11099}
2021-05-03T09:56:51.451Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 23289}
2021-05-03T09:56:51.652Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 31384}
2021-05-03T09:56:52.453Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 4286}
2021-05-03T09:56:52.653Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12201}
2021-05-03T09:56:53.455Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 7590}
2021-05-03T09:56:53.655Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 4866}
2021-05-03T09:56:54.456Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 5567}
2021-05-03T09:56:54.657Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6425}
2021-05-03T09:56:55.458Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 16855}
2021-05-03T09:56:55.659Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 17470}
2021-05-03T09:56:56.461Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 15537}
2021-05-03T09:56:56.662Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 19309}
2021-05-03T09:56:57.466Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 30857}
2021-05-03T09:56:57.668Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 32129}
2021-05-03T09:56:58.472Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 29322}
2021-05-03T09:56:58.675Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10777}
2021-05-03T09:56:59.479Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 26271}
2021-05-03T09:56:59.681Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 26488}
2021-05-03T09:57:00.487Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 31056}
2021-05-03T09:57:00.689Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 32346}
2021-05-03T09:57:01.526Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 5184}
2021-05-03T09:57:01.727Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 23408}
2021-05-03T09:57:02.535Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 38641}
2021-05-03T09:57:02.737Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 38858}
2021-05-03T09:57:03.545Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39446}
2021-05-03T09:57:03.747Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 38972}
2021-05-03T09:57:04.555Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39274}
2021-05-03T09:57:04.757Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39048}
2021-05-03T09:57:05.563Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 40049}
2021-05-03T09:57:05.765Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 35686}
2021-05-03T09:57:06.570Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 16177}
2021-05-03T09:57:06.771Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 26718}
2021-05-03T09:57:07.572Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 5158}
2021-05-03T09:57:07.772Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2986}
2021-05-03T09:57:08.573Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2437}
2021-05-03T09:57:08.773Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 4270}
2021-05-03T09:57:09.574Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2585}
2021-05-03T09:57:09.774Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6759}
2021-05-03T09:57:10.575Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8222}
2021-05-03T09:57:10.776Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 9488}
2021-05-03T09:57:11.577Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12855}
2021-05-03T09:57:11.777Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 15679}
2021-05-03T09:57:12.579Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 9372}
2021-05-03T09:57:12.780Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 11855}
2021-05-03T09:57:13.582Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 28585}
2021-05-03T09:57:13.784Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 25095}
2021-05-03T09:57:14.591Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 29653}
2021-05-03T09:57:14.792Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 29112}
2021-05-03T09:57:15.633Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 26315}
2021-05-03T09:57:15.835Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 26039}
2021-05-03T09:57:16.640Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 22707}
2021-05-03T09:57:16.841Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 27221}
2021-05-03T09:57:17.649Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 36821}
2021-05-03T09:57:17.851Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 35636}
2021-05-03T09:57:18.657Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 32522}
2021-05-03T09:57:18.859Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 32896}
2021-05-03T09:57:19.666Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 37209}
2021-05-03T09:57:19.868Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 38132}
2021-05-03T09:57:20.676Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39090}
2021-05-03T09:57:20.878Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39482}
2021-05-03T09:57:21.729Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39298}
2021-05-03T09:57:21.931Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 38599}
2021-05-03T09:57:22.739Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39291}
2021-05-03T09:57:22.940Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39672}
2021-05-03T09:57:23.752Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10470}
2021-05-03T09:57:23.953Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10244}
2021-05-03T09:57:24.754Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 13222}
2021-05-03T09:57:24.955Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 15783}
2021-05-03T09:57:25.759Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 16322}
2021-05-03T09:57:25.959Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12223}
2021-05-03T09:57:26.761Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 3579}
