2021-05-03T14:58:34.457Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 40380}
2021-05-03T14:58:35.278Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8179}
2021-05-03T14:58:35.478Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 30844}
2021-05-03T14:58:36.282Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 55262}
2021-05-03T14:58:36.483Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 56176}
2021-05-03T14:58:37.285Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 512}
2021-05-03T14:58:37.485Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2048}
2021-05-03T14:58:38.287Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1540}
2021-05-03T14:58:38.487Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1032}
2021-05-03T14:58:41.489Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 3676}
2021-05-03T14:58:41.689Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12519}
2021-05-03T14:58:42.509Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 296}
2021-05-03T14:58:42.721Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 966}
2021-05-03T14:58:43.522Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 20898}
2021-05-03T14:58:43.722Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 15847}
2021-05-03T14:58:44.523Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 13173}
2021-05-03T14:58:44.724Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12968}
2021-05-03T14:58:45.525Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 23341}
2021-05-03T14:58:45.726Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 61041}
2021-05-03T14:58:46.530Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 52688}
2021-05-03T14:58:46.731Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 50070}
2021-05-03T14:58:47.543Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8111}
2021-05-03T14:58:47.743Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 32411}
2021-05-03T14:58:48.546Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 62701}
2021-05-03T14:58:48.747Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 63847}
2021-05-03T14:58:49.549Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2560}
2021-05-03T14:58:50.349Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1540}
2021-05-03T14:58:50.549Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1538}
2021-05-03T14:58:53.978Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 4854}
2021-05-03T14:58:54.182Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 346}
2021-05-03T14:58:54.986Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 9548}
